Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites
Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,4/5/2009,7/4/2010,Spring,0,"{aniplex,square enix,mainichi broadcasting system,studio moriken}","{funimation,aniplex of america}",Bones,Manga,"{action,military,adventure,comedy,drama,magic,fantasy,shounen}",24,R,9.25,719706,1176368,105387
Kimi no Na wa.,Movie,1,Finished Airing,8/26/2016,null,null,null,"{kadokawa shoten,toho,sound team don juan,lawson hmv entertainment,amuse,east japan marketing & communications}","{funimation,nyav post}",CoMix Wave Films,Original,"{supernatural,drama,romance,school}",106,PG-13,9.19,454969,705186,33936
Gintama°,TV,51,Finished Airing,4/8/2015,3/30/2016,Spring,3,"{tv tokyo,aniplex,dentsu}","{funimation,crunchyroll}",Bandai Namco Pictures,Manga,"{action,comedy,historical,parody,samurai,sci-fi,shounen}",24,R,9.16,70279,194359,5597
Steins;Gate 0,TV,23,Currently Airing,4/12/2018,null,Spring,4,{nitroplus},{funimation},White Fox,Visual novel,"{sci-fi,thriller}",23,PG-13,9.16,12609,186331,1117
Steins;Gate,TV,24,Finished Airing,4/6/2011,9/14/2011,Spring,3,"{frontier works,media factory,movic,at-x,kadokawa pictures japan,nitroplus}",{funimation},White Fox,Visual novel,"{sci-fi,thriller}",24,PG-13,9.14,552791,990419,90365
Ginga Eiyuu Densetsu,OVA,110,Finished Airing,1/8/1988,3/17/1997,null,null,{kitty films},{sentai filmworks},"Artland,Magic Bus",Novel,"{military,sci-fi,space,drama}",26,R,9.11,28452,121772,8370
Gintama',TV,51,Finished Airing,4/4/2011,3/26/2012,Spring,1,"{tv tokyo,aniplex,dentsu,trinity sound,miracle robo,studio jack,shueisha}",null,Sunrise,Manga,"{action,sci-fi,comedy,historical,parody,samurai,shounen}",24,PG-13,9.11,90758,212238,4533
Hunter x Hunter (2011),TV,148,Finished Airing,10/2/2011,9/24/2014,Fall,0,"{vap,nippon television network,shueisha}",{viz media},Madhouse,Manga,"{action,adventure,super power,shounen}",23,PG-13,9.11,395162,705225,63324
3-gatsu no Lion 2nd Season,TV,22,Finished Airing,10/14/2017,3/31/2018,Fall,6,"{aniplex,dentsu,nhk,hakusensha,asmik ace entertainment,toy's factory}",{aniplex of america},Shaft,Manga,"{drama,game,seinen,slice of life}",25,PG-13,9.1,26284,80166,1961
Gintama': Enchousen,TV,13,Finished Airing,10/4/2012,3/28/2013,Fall,4,"{tv tokyo,aniplex,dentsu,shueisha,miracle bus}",null,Sunrise,Manga,"{action,comedy,historical,parody,samurai,sci-fi,shounen}",24,PG-13,9.07,62582,121612,1498
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,Finished Airing,7/6/2013,null,null,null,"{tv tokyo,aniplex,dentsu,bandai,warner bros.,shueisha}",null,Sunrise,Manga,"{action,sci-fi,comedy,historical,parody,samurai,shounen}",110,PG-13,9.04,60295,104021,1374
Koe no Katachi,Movie,1,Finished Airing,9/17/2016,null,null,null,"{shochiku,pony canyon,kodansha,abc animation,quaras}",{nyav post},Kyoto Animation,Manga,"{drama,school,shounen}",130,PG-13,9.04,283214,491799,18911
Owarimonogatari 2nd Season,TV,7,Finished Airing,8/12/2017,8/13/2017,Summer,null,"{aniplex,kodansha}",{aniplex of america},Shaft,Light novel,"{mystery,comedy,supernatural,vampire}",22,R,9.03,40936,109651,2372
Gintama.,TV,12,Finished Airing,1/9/2017,3/27/2017,Winter,1,"{tv tokyo,aniplex,dentsu,shueisha}",null,Bandai Namco Pictures,Manga,"{action,comedy,historical,parody,samurai,sci-fi,shounen}",24,PG-13,9.02,39493,89409,1222
Clannad: After Story,TV,24,Finished Airing,10/3/2008,3/27/2009,Fall,5,"{pony canyon,tbs,rakuonsha,animation do}",{sentai filmworks},Kyoto Animation,Visual novel,"{slice of life,comedy,supernatural,drama,romance}",24,PG-13,9.01,359297,599866,47076
Gintama,TV,201,Finished Airing,4/4/2006,3/25/2010,Spring,4,"{tv tokyo,aniplex,dentsu,trinity sound,audio highs,miracle robo,shueisha}","{sentai filmworks,crunchyroll}",Sunrise,Manga,"{action,sci-fi,comedy,historical,parody,samurai,shounen}",24,PG-13,9.01,139984,452486,33507
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,TV,10,Finished Airing,10/8/2016,12/10/2016,Fall,6,"{toho animation,shueisha}",{sentai filmworks},Production I.G,Manga,"{comedy,sports,drama,school,shounen}",24,PG-13,8.99,154220,245797,4078
Code Geass: Hangyaku no Lelouch R2,TV,25,Finished Airing,4/6/2008,9/28/2008,Spring,0,"{bandai visual,mainichi broadcasting system,bandai,bandai namco entertainment,hakuhodo dy media partners}","{funimation,bandai entertainment}",Sunrise,Original,"{action,drama,mecha,military,sci-fi,super power}",24,R,8.95,536915,780346,43856
Made in Abyss,TV,13,Finished Airing,7/7/2017,9/29/2017,Summer,5,"{media factory,at-x,takeshobo,sony music communications,kadokawa media house,cygames,kanetsu co., ltd.}",{sentai filmworks},Kinema Citrus,Web manga,"{sci-fi,adventure,mystery,drama,fantasy}",25,R,8.92,157920,308918,11246
Sen to Chihiro no Kamikakushi,Movie,1,Finished Airing,7/20/2001,null,null,null,{toho},"{walt disney studios,gkids}",Studio Ghibli,Original,"{adventure,supernatural,drama}",125,PG,8.92,490546,693611,15225
Haikyuu!! Second Season,TV,25,Finished Airing,10/4/2015,3/27/2016,Fall,0,"{toho animation,shueisha}",{sentai filmworks},Production I.G,Manga,"{comedy,sports,drama,school,shounen}",24,PG-13,8.88,201157,326190,6480
Kizumonogatari III: Reiketsu-hen,Movie,1,Finished Airing,1/6/2017,null,null,null,"{aniplex,kodansha}",null,Shaft,Light novel,"{action,mystery,supernatural,vampire}",83,R,8.88,59924,125489,1477
Shigatsu wa Kimi no Uso,TV,22,Finished Airing,10/10/2014,3/20/2015,Fall,5,"{aniplex,dentsu,kodansha,fuji tv,kyoraku industrial holdings}",{aniplex of america},A-1 Pictures,Manga,"{drama,music,romance,school,shounen}",22,PG-13,8.88,404812,701954,38990
Gintama.: Shirogane no Tamashii-hen,TV,12,Finished Airing,1/8/2018,3/26/2018,Winter,1,"{tv tokyo,aniplex,dentsu,shueisha}",null,Bandai Namco Pictures,Manga,"{action,sci-fi,comedy,historical,parody,samurai,shounen}",24,PG-13,8.86,13190,39829,388
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,Finished Airing,1/7/2017,3/25/2017,Winter,6,"{mainichi broadcasting system,kodansha,dax production,king records}",null,Studio Deen,Manga,"{historical,drama,josei}",24,PG-13,8.87,26744,73103,1360
Mushishi Zoku Shou 2nd Season,TV,10,Finished Airing,10/19/2014,12/21/2014,Fall,0,"{aniplex,kodansha,delfi sound}",{aniplex of america},Artland,Manga,"{adventure,fantasy,historical,mystery,seinen,slice of life,supernatural}",23,PG-13,8.83,48104,116262,693
Cowboy Bebop,TV,26,Finished Airing,4/3/1998,4/24/1999,Spring,6,{bandai visual},"{funimation,bandai entertainment}",Sunrise,Original,"{action,adventure,comedy,drama,sci-fi,space}",24,R,8.81,359700,695231,38654
Hajime no Ippo,TV,75,Finished Airing,10/4/2000,3/27/2002,Fall,2,{vap},{geneon entertainment usa},Madhouse,Manga,"{comedy,sports,drama,shounen}",23,PG-13,8.8,114872,225314,10649
Mononoke Hime,Movie,1,Finished Airing,7/12/1997,null,null,null,"{tokuma shoten,nippon television network}",{gkids},Studio Ghibli,Original,"{action,adventure,fantasy}",130,PG-13,8.8,328929,499571,10540
Code Geass: Hangyaku no Lelouch,TV,25,Finished Airing,10/6/2006,7/29/2007,Fall,5,"{bandai visual,mainichi broadcasting system,bandai,sony music entertainment,bandai namco entertainment,hakuhodo dy media partners}","{funimation,bandai entertainment}",Sunrise,Original,"{action,military,sci-fi,super power,drama,mecha,school}",24,R,8.79,619589,972802,62965
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,Finished Airing,2/20/1999,9/22/1999,null,null,{aniplex},"{adv films,aniplex of america}",Studio Deen,Manga,"{action,historical,drama,romance,martial arts,samurai}",30,R,8.79,88381,165485,4640
Boku no Hero Academia 2nd Season,TV,25,Finished Airing,4/1/2017,9/30/2017,Spring,6,"{dentsu,yomiuri telecasting,movic,sony music entertainment,toho animation,shueisha}",{funimation},Bones,Manga,"{action,comedy,super power,school,shounen}",23,PG-13,8.77,330448,555433,11228
Monogatari Series: Second Season,TV,26,Finished Airing,7/7/2013,12/29/2013,Summer,0,"{aniplex,kodansha,cyclone graphics inc}",{aniplex of america},Shaft,Light novel,"{mystery,comedy,supernatural,romance,vampire}",24,R,8.77,159599,299227,11763
Mushishi Zoku Shou,TV,10,Finished Airing,4/5/2014,6/21/2014,Spring,6,"{aniplex,kodansha,delfi sound}",{aniplex of america},Artland,Manga,"{adventure,slice of life,mystery,historical,supernatural,fantasy,seinen}",24,PG-13,8.77,59834,143770,874
Ookami Kodomo no Ame to Yuki,Movie,1,Finished Airing,7/21/2012,null,null,null,"{madhouse,vap,dentsu,yomiuri telecasting,kadokawa shoten,toho,hiroshima television}",{funimation},Studio Chizu,Original,"{slice of life,fantasy}",117,PG,8.77,201346,351703,7014
Natsume Yuujinchou Roku,TV,11,Finished Airing,4/12/2017,6/21/2017,Spring,3,"{tv tokyo,aniplex,nihon ad systems,hakusensha}",null,Shuka,Manga,"{drama,fantasy,shoujo,slice of life,supernatural}",23,PG-13,8.75,23690,64281,506
Great Teacher Onizuka,TV,43,Finished Airing,6/30/1999,9/17/2000,Summer,3,"{aniplex,fuji tv}","{discotek media,tokyopop}",Studio Pierrot,Manga,"{comedy,drama,school,shounen,slice of life}",25,R,8.74,185291,355842,13951
Mushishi,TV,26,Finished Airing,10/23/2005,6/19/2006,Fall,0,"{avex entertainment,marvelous,sky perfect well think,delfi sound}",{funimation},Artland,Manga,"{adventure,fantasy,historical,mystery,seinen,slice of life,supernatural}",25,PG-13,8.74,145817,402744,17849
Tengen Toppa Gurren Lagann,TV,27,Finished Airing,4/1/2007,9/30/2007,Spring,0,"{tv tokyo,aniplex,dentsu,konami,half h.p studio,bandai}","{bandai entertainment,aniplex of america}",Gainax,Original,"{action,adventure,comedy,mecha,sci-fi}",24,PG-13,8.74,443327,775577,49556
Hajime no Ippo: New Challenger,TV,26,Finished Airing,1/7/2009,7/1/2009,Winter,3,"{vap,kodansha,nippon television network}",null,Madhouse,Manga,"{comedy,sports,drama,shounen}",23,PG-13,8.73,76696,124203,1060
Howl no Ugoku Shiro,Movie,1,Finished Airing,11/20/2004,null,null,null,"{d-rights,tokuma shoten}",{walt disney studios},Studio Ghibli,Novel,"{adventure,drama,fantasy,romance}",117,G,8.73,329436,473914,9640
One Punch Man,TV,12,Finished Airing,10/5/2015,12/21/2015,Fall,1,"{tv tokyo,bandai visual,lantis,asatsu dk,banpresto,good smile company,shueisha,east japan marketing & communications}",{viz media},Madhouse,Web manga,"{action,sci-fi,comedy,parody,super power,supernatural,seinen}",24,R,8.73,675113,994888,30140
Suzumiya Haruhi no Shoushitsu,Movie,1,Finished Airing,2/6/2010,null,null,null,"{kadokawa shoten,animation do}","{funimation,bandai entertainment}",Kyoto Animation,Light novel,"{comedy,mystery,romance,school,sci-fi,supernatural}",162,PG-13,8.73,177650,319467,8499
Natsume Yuujinchou Shi,TV,13,Finished Airing,1/3/2012,3/27/2012,Winter,2,"{tv tokyo,aniplex,nihon ad systems,hakusensha,sony music entertainment}","{nis america, inc.}",Brain's Base,Manga,"{slice of life,supernatural,drama,fantasy,shoujo}",24,PG-13,8.72,61530,130966,1387
Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,Finished Airing,5/16/2015,null,null,null,"{aniplex,kodansha,delfi sound}",null,Artland,Manga,"{adventure,fantasy,historical,mystery,seinen,slice of life,supernatural}",47,PG-13,8.71,21922,54408,123
Kizumonogatari II: Nekketsu-hen,Movie,1,Finished Airing,8/19/2016,null,null,null,"{aniplex,kodansha}",{aniplex of america},Shaft,Light novel,"{action,mystery,supernatural,vampire}",64,R,8.7,69241,132506,744
Bakuman. 3rd Season,TV,25,Finished Airing,10/6/2012,3/30/2013,Fall,null,"{nhk,shueisha}",null,J.C.Staff,Manga,"{comedy,drama,romance,shounen}",24,PG-13,8.67,106543,180516,2061
Death Note,TV,37,Finished Airing,10/4/2006,6/27/2007,Fall,3,"{vap,konami,ashi production,nippon television network,shueisha}",{viz media},Madhouse,Manga,"{mystery,police,psychological,supernatural,thriller,shounen}",23,R,8.67,993775,1432871,87872
Hajime no Ippo: Rising,TV,25,Finished Airing,10/6/2013,3/29/2014,Fall,0,"{vap,kodansha,nippon television network}",null,"Madhouse,MAPPA",Manga,"{comedy,sports,drama,shounen}",22,PG-13,8.67,58403,101167,639
Saiki Kusuo no Ψ-nan (TV) 2,TV,24,Currently Airing,1/17/2018,null,Winter,3,"{tv tokyo,shogakukan productions,nippon columbia,klockworx,asmik ace entertainment,bandai namco entertainment,shueisha,toy's factory,dear stage inc.}",null,"J.C.Staff,Egg Firm",Manga,"{slice of life,comedy,supernatural,school,shounen}",24,PG-13,8.67,11176,53301,372
Ansatsu Kyoushitsu 2nd Season,TV,25,Finished Airing,1/8/2016,7/1/2016,Winter,5,"{dentsu,fuji tv,dax production,avex pictures,shueisha,kansai telecasting}",{funimation},Lerche,Manga,"{action,comedy,school,shounen}",23,PG-13,8.66,207074,369455,6549
Fate/Zero 2nd Season,TV,12,Finished Airing,4/8/2012,6/24/2012,Spring,0,"{aniplex,nitroplus,seikaisha,notes}",{aniplex of america},ufotable,Novel,"{action,supernatural,magic,fantasy}",24,R,8.66,308831,492593,10880
Haikyuu!!,TV,25,Finished Airing,4/6/2014,9/21/2014,Spring,0,"{mainichi broadcasting system,toho animation,shueisha}",{sentai filmworks},Production I.G,Manga,"{comedy,drama,school,shounen,sports}",24,PG-13,8.66,272976,473577,23414
Pingu in the City,TV,26,Finished Airing,10/7/2017,3/31/2018,Fall,6,{nhk},null,Polygon Pictures,Other,"{slice of life,comedy,kids}",7,G,8.66,5977,21226,619
Natsume Yuujinchou San,TV,13,Finished Airing,7/5/2011,9/27/2011,Summer,2,"{aniplex,sakura create}","{nis america, inc.}",Brain's Base,Manga,"{drama,fantasy,shoujo,slice of life,supernatural}",24,PG-13,8.65,68203,137602,973
Ping Pong The Animation,TV,11,Finished Airing,4/11/2014,6/20/2014,Spring,5,"{aniplex,dentsu,fuji tv,kyoraku industrial holdings}",{funimation},Tatsunoko Production,Manga,"{sports,psychological,drama,seinen}",23,PG-13,8.65,71878,144440,6965
Sora yori mo Tooi Basho,TV,13,Finished Airing,1/2/2018,3/27/2018,Winter,2,"{media factory,movic,at-x,sony music communications,docomo anime store,kadokawa media house,kadokawa,newgin,crunchyroll sc anime fund}",null,Madhouse,Original,"{slice of life,adventure}",23,PG-13,8.65,35256,98573,2008
Yojouhan Shinwa Taikei,TV,11,Finished Airing,4/23/2010,7/2/2010,Spring,5,"{dentsu,kadokawa shoten,fuji tv,toho,asmik ace entertainment,tohokushinsha film corporation,sony music entertainment,fuji pacific music publishing}",{funimation},Madhouse,Novel,"{mystery,comedy,psychological,romance}",23,R,8.65,59567,180689,9301
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,39,Finished Airing,4/2/2016,12/24/2016,Spring,6,"{warner bros.,klockworx,medicos entertainment,shueisha}",{viz media},David Production,Manga,"{action,adventure,comedy,supernatural,drama,shounen}",23,R,8.64,96615,176448,6981
Mushishi Special: Hihamukage,Special,1,Finished Airing,1/4/2014,null,null,null,"{ aniplex,kodansha,delfi sound}",null,Artland,Manga,"{ adventure,slice of life,mystery,historical,supernatural,fantasy,seinen}",45,PG-13,8.64,35673,66879,101
Natsume Yuujinchou Go,TV,11,Finished Airing,10/5/2016,12/21/2016,Fall,3,"{tv tokyo,aniplex,nihon ad systems,hakusensha}",null,Shuka,Manga,"{slice of life,supernatural,drama,fantasy,shoujo}",23,PG-13,8.64,30968,79095,453
Kara no Kyoukai 5: Mujun Rasen,Movie,1,Finished Airing,8/16/2008,null,null,null,{notes},{aniplex of america},ufotable,Light novel,"{action,mystery,supernatural,drama,romance,thriller}",114,R,8.63,78064,138255,2973
Shouwa Genroku Rakugo Shinjuu,TV,13,Finished Airing,1/9/2016,4/2/2016,Winter,6,"{starchild records,mainichi broadcasting system,kodansha,dax production}",null,Studio Deen,Manga,"{drama,historical,josei}",26,PG-13,8.63,46836,139271,3226
Zoku Natsume Yuujinchou,TV,13,Finished Airing,1/6/2009,3/31/2009,Winter,2,"{aniplex,nihon ad systems}","{nis america, inc.}",Brain's Base,Manga,"{drama,fantasy,shoujo,slice of life,supernatural}",24,PG-13,8.62,76893,145985,1206
Ashita no Joe 2,TV,47,Finished Airing,10/13/1980,8/31/1981,Fall,null,{annapuru},null,Tokyo Movie Shinsha,Manga,"{action,drama,shounen,slice of life,sports}",24,PG-13,8.6,4127,11867,518
Aria The Origination,TV,13,Finished Airing,1/8/2008,4/1/2008,Winter,2,"{tv tokyo,shochiku,mag garden}",{nozomi entertainment},Hal Film Maker,Manga,"{fantasy,sci-fi,shounen,slice of life}",24,G,8.59,17893,70380,2972
Gintama.: Porori-hen,TV,13,Finished Airing,10/2/2017,12/25/2017,Fall,1,"{tv tokyo,aniplex,dentsu,shueisha}",null,Bandai Namco Pictures,Manga,"{action,sci-fi,comedy,historical,parody,samurai,shounen}",23,PG-13,8.59,22015,51931,445
Rainbow: Nisha Rokubou no Shichinin,TV,26,Finished Airing,4/7/2010,9/29/2010,Spring,null,"{vap,nippon television network}",{funimation},Madhouse,Manga,"{drama,historical,seinen,thriller}",22,R,8.59,77292,193900,5154
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,1,Finished Airing,4/20/2013,null,null,null,"{frontier works,media factory,movic,at-x,kadokawa pictures japan,mages.}",{funimation},White Fox,Visual novel,"{sci-fi,drama}",90,PG-13,8.58,163175,276648,1347
Gintama Movie 1: Shinyaku Benizakura-hen,Movie,1,Finished Airing,4/24/2010,null,null,null,"{tv tokyo,aniplex,dentsu,bandai,warner bros.,shueisha}",{sentai filmworks},Sunrise,Manga,"{action,sci-fi,comedy,historical,parody,samurai,shounen}",95,R,8.57,41905,71355,323
Violet Evergarden,TV,13,Finished Airing,1/11/2018,4/5/2018,Winter,4,"{lantis,pony canyon,rakuonsha,abc animation}",null,Kyoto Animation,Light novel,"{slice of life,drama,fantasy}",23,PG-13,8.57,88787,322653,4963
Boku dake ga Inai Machi,TV,12,Finished Airing,1/8/2016,3/25/2016,Winter,5,"{aniplex,dentsu,kadokawa shoten,fuji tv,dax production,kyoraku industrial holdings,kansai telecasting,lawson}",{aniplex of america},A-1 Pictures,Manga,"{mystery,psychological,seinen,supernatural}",23,R,8.56,432114,684588,20942
JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,TV,24,Finished Airing,1/10/2015,6/20/2015,Winter,6,"{yomiko advertising,warner bros.,klockworx}",{viz media},David Production,Manga,"{action,adventure,drama,shounen,supernatural}",23,R,8.56,118095,185350,4352
Uchuu Kyoudai,TV,99,Finished Airing,4/1/2012,3/22/2014,Spring,0,"{aniplex,dentsu,ytv,trinity sound}",{sentai filmworks},A-1 Pictures,Manga,"{comedy,sci-fi,seinen,slice of life,space}",24,PG-13,8.56,26394,97549,2494
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,Finished Airing,4/15/2011,6/24/2011,Spring,5,"{aniplex,dentsu,fuji tv,fuji pacific music publishing}","{nis america, inc.,aniplex of america}",A-1 Pictures,Original,"{slice of life,supernatural,drama}",22,PG-13,8.55,392312,650827,20971
Ghost in the Shell: Stand Alone Complex 2nd GIG,TV,26,Finished Airing,1/1/2004,1/8/2005,Winter,null,"{bandai visual,dentsu,victor entertainment,tokuma shoten}","{bandai entertainment,manga entertainment}",Production I.G,Manga,"{action,military,sci-fi,mystery,police,mecha,seinen}",25,R,8.55,71671,147861,2388
Hotaru no Haka,Movie,1,Finished Airing,4/16/1988,null,null,null,null,"{adv films,central park media,sentai filmworks}",Studio Ghibli,Novel,"{drama,historical}",88,PG-13,8.55,144566,241170,2851
Hotarubi no Mori e,Movie,1,Finished Airing,9/17/2011,null,null,null,{aniplex},null,Brain's Base,Manga,"{drama,romance,shoujo,supernatural}",45,G,8.55,171392,306369,5516
Kuroshitsuji Movie: Book of the Atlantic,Movie,1,Finished Airing,1/21/2017,null,null,null,"{aniplex,square enix}",{funimation},A-1 Pictures,Manga,"{action,comedy,historical,demons,supernatural,fantasy}",100,R,8.55,17621,59525,542
Saiki Kusuo no Ψ-nan (TV),TV,120,Finished Airing,7/4/2016,12/26/2016,Summer,null,"{tv tokyo,shogakukan productions,pony canyon,nippon columbia,klockworx,asmik ace entertainment,bandai namco entertainment,shueisha,toy's factory,dear stage inc.}",{funimation},"J.C.Staff,Egg Firm",Manga,"{slice of life,comedy,supernatural,school,shounen}",5,PG-13,8.55,54439,134170,2715
Slam Dunk,TV,101,Finished Airing,10/16/1993,3/23/1996,Fall,null,"{tv asahi,animax}","{flatiron film company,geneon entertainment usa}",Toei Animation,Manga,"{comedy,sports,drama,school,shounen}",23,PG-13,8.55,54336,113097,3387
Kamisama Hajimemashita: Kako-hen,OVA,4,Finished Airing,8/20/2015,8/19/2016,null,null,null,null,TMS Entertainment,Manga,"{comedy,demons,supernatural,romance,fantasy,shoujo}",30,PG-13,8.54,26535,60840,510
Kuroko no Basket 3rd Season,TV,25,Finished Airing,1/11/2015,6/30/2015,Winter,0,"{bandai visual,lantis,nihon ad systems,banpresto,shueisha,bs11}",null,Production I.G,Manga,"{comedy,sports,school,shounen}",24,PG-13,8.54,171156,282268,3328
Major S5,TV,25,Finished Airing,1/10/2009,6/27/2009,Winter,null,{nhk},null,SynergySP,Manga,"{comedy,drama,romance,sports}",24,PG-13,8.54,22741,37525,435
One Piece,TV,null,Currently Airing,10/20/1999,null,Fall,0,"{fuji tv,tap,shueisha}","{funimation,4kids entertainment}",Toei Animation,Manga,"{action,adventure,comedy,super power,drama,fantasy,shounen}",24,PG-13,8.54,417652,707815,68985
Hellsing Ultimate,OVA,10,Finished Airing,2/10/2006,12/26/2012,null,null,"{geneon universal entertainment,studiorf inc.,shounen gahousha}","{funimation,geneon entertainment usa}","Madhouse,Satelight,Graphinica",Manga,"{action,military,horror,supernatural,vampire,seinen}",50,R,8.53,218758,418528,13317
Gintama: Yorinuki Gintama-san on Theater 2D,Movie,2,Finished Airing,8/26/2012,null,null,null,null,null,Sunrise,Manga,"{action,sci-fi,comedy,historical,parody,samurai,shounen}",96,PG-13,8.52,6891,18044,32
Kara no Kyoukai 7: Satsujin Kousatsu (Kou),Movie,1,Finished Airing,8/8/2009,null,null,null,{notes},{aniplex of america},ufotable,Light novel,"{action,mystery,supernatural,romance,thriller}",121,R,8.52,66168,119617,1433
Kiseijuu: Sei no Kakuritsu,TV,24,Finished Airing,10/9/2014,3/26/2015,Fall,4,"{vap,kodansha,nippon television network,forecast communications}",{sentai filmworks},Madhouse,Manga,"{action,sci-fi,horror,psychological,drama,seinen}",23,R,8.52,402831,663525,15676
Mushishi Zoku Shou: Odoro no Michi,Special,1,Finished Airing,8/20/2014,null,null,null,"{aniplex,kodansha,delfi sound}",{aniplex of america},Artland,Manga,"{adventure,slice of life,mystery,historical,supernatural,fantasy,seinen}",47,PG-13,8.52,25080,48395,59
Nichijou,TV,26,Finished Airing,4/3/2011,9/25/2011,Spring,0,"{lantis,kadokawa shoten,movic,rakuonsha,kadokawa pictures japan,klockworx,animation do}","{funimation,bandai entertainment}",Kyoto Animation,Manga,"{slice of life,comedy,school}",23,PG-13,8.52,149654,370955,12311
Usagi Drop,TV,11,Finished Airing,7/8/2011,9/16/2011,Summer,5,"{fuji tv,tohokushinsha film corporation,sony music entertainment,sakura create,fuji pacific music publishing}","{nis america, inc.}",Production I.G,Manga,"{josei,slice of life}",22,PG-13,8.52,137922,263722,4659
Kingdom 2nd Season,TV,39,Finished Airing,6/8/2013,3/2/2014,Summer,0,{nhk},{funimation},Studio Pierrot,Manga,"{action,military,historical,seinen}",25,R,8.51,21392,45140,499
Mob Psycho 100,TV,12,Finished Airing,7/11/2016,9/27/2016,Summer,2,"{warner bros.,klockworx,bs fuji,hakuhodo dy music & pictures,shogakukan}","{funimation,crunchyroll}",Bones,Web manga,"{action,slice of life,comedy,supernatural}",24,PG-13,8.51,265482,470852,8657
Bakemono no Ko,Movie,1,Finished Airing,7/11/2015,null,null,null,"{dentsu,yomiuri telecasting,kadokawa shoten,toho,nippon television network}",{funimation},Studio Chizu,Original,"{adventure,supernatural}",118,PG-13,8.5,88875,163271,1718
Cross Game,TV,50,Finished Airing,4/5/2009,3/28/2010,Spring,null,"{tv tokyo,shogakukan productions}",null,SynergySP,Manga,"{comedy,drama,romance,school,sports}",23,PG-13,8.5,29229,69703,2093
Gintama°: Aizome Kaori-hen,OVA,2,Finished Airing,8/4/2016,11/4/2016,null,null,"{tv tokyo,dentsu}",null,Bandai Namco Pictures,Manga,"{comedy,parody}",26,PG-13,8.5,16107,32825,86
Kuroko no Basket 2nd Season,TV,25,Finished Airing,10/6/2013,3/30/2014,Fall,0,"{bandai visual,lantis,nihon ad systems,banpresto,shueisha,bs11}",null,Production I.G,Manga,"{comedy,sports,school,shounen}",24,PG-13,8.5,221302,346705,3557
Samurai Champloo,TV,26,Finished Airing,5/20/2004,3/19/2005,Spring,6,"{victor entertainment,fuji tv,barnum studio,tokuma shoten,flying dog}","{funimation,geneon entertainment usa}",Manglobe,Original,"{action,adventure,comedy,historical,samurai,shounen}",24,R,8.5,294149,535809,19309
Baccano!,TV,13,Finished Airing,7/27/2007,11/2/2007,Summer,5,"{aniplex,sakura create,happinet pictures}","{funimation,aniplex of america}",Brain's Base,Light novel,"{action,mystery,comedy,historical,supernatural}",24,R,8.49,219843,476348,17683
Bakuman. 2nd Season,TV,25,Finished Airing,10/1/2011,3/24/2012,Fall,6,"{nhk,shueisha}",{media blasters},J.C.Staff,Manga,"{comedy,drama,romance,shounen}",24,PG-13,8.49,120720,199264,1019
Boku no Hero Academia 3rd Season,TV,25,Currently Airing,4/7/2018,null,Spring,6,{shueisha},{funimation},Bones,Manga,"{action,comedy,school,shounen,super power}",23,PG-13,8.49,21212,228433,1065
Houseki no Kuni (TV),TV,12,Finished Airing,10/7/2017,12/23/2017,Fall,6,"{mainichi broadcasting system,kodansha,movic,at-x,toho animation,tokyo mx,q-tec,kyoraku industrial holdings,bs11}",{sentai filmworks},Orange,Manga,"{action,mystery,drama,fantasy,seinen}",24,PG-13,8.49,49072,122833,2812
Shingeki no Kyojin,TV,25,Finished Airing,4/7/2013,9/29/2013,Spring,0,"{production i.g,dentsu,mainichi broadcasting system,pony canyon,kodansha,mad box,shingeki no kyojin team,pony canyon enterprise}",{funimation},Wit Studio,Manga,"{action,military,mystery,super power,drama,fantasy,shounen}",24,R,8.49,925420,1322447,63317
Shinsekai yori,TV,25,Finished Airing,9/29/2012,3/23/2013,Fall,6,"{aniplex,tv asahi,pony canyon}",{sentai filmworks},A-1 Pictures,Novel,"{sci-fi,mystery,horror,psychological,supernatural,drama}",22,R,8.49,155994,403312,16308
Natsume Yuujinchou Roku Specials,Special,2,Finished Airing,9/27/2017,10/25/2017,null,null,null,null,Shuka,Manga,"{slice of life,supernatural,drama,fantasy,shoujo}",23,PG-13,8.48,4643,12547,21
