Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites
Kara no Kyoukai: Mirai Fukuin,Movie,1,Finished Airing,9/28/2013,null,null,null,{notes},{aniplex of america},ufotable,Light novel,"{drama,mystery,seinen,supernatural}",90,R,8.1,25250,55699,145
Mobile Suit Gundam: The 08th MS Team,OVA,12,Finished Airing,1/25/1996,7/25/1999,null,null,{atelier musa},{bandai entertainment},Sunrise,Original,"{military,sci-fi,adventure,drama,romance,mecha}",24,PG-13,8.1,24572,43553,689
Tamako Love Story,Movie,1,Finished Airing,4/26/2014,null,null,null,"{pony canyon,tbs}",{sentai filmworks},Kyoto Animation,Original,"{comedy,romance,slice of life}",83,PG-13,8.1,57514,120935,951
Wolf's Rain OVA,OVA,4,Finished Airing,1/23/2004,2/25/2004,null,null,{asatsu dk},"{funimation,bandai entertainment}",Bones,Original,"{sci-fi,adventure,psychological,supernatural,drama}",23,PG-13,8.1,24119,43722,287
Aria The Avvenire,Special,3,Finished Airing,9/26/2015,null,null,null,{shochiku},{nozomi entertainment},TYO Animations,Manga,"{fantasy,sci-fi,shounen,slice of life}",21,G,8.09,4823,13668,74
Aria The OVA: Arietta,OVA,1,Finished Airing,9/21/2007,null,null,null,"{tv tokyo,shochiku}",{nozomi entertainment},Hal Film Maker,Manga,"{fantasy,sci-fi,shounen,slice of life}",30,G,8.09,10972,24287,63
Fairy Tail,TV,175,Finished Airing,10/12/2009,3/30/2013,Fall,6,"{tv tokyo,dentsu,pony canyon,kodansha,dax production,sakura create}",{funimation},"Satelight,A-1 Pictures",Manga,"{action,adventure,comedy,magic,fantasy,shounen}",24,PG-13,8.09,417645,806105,37460
Final Fantasy VII: Advent Children Complete,OVA,1,Finished Airing,4/16/2009,null,null,null,null,null,Square Enix,Game,"{action,fantasy,super power}",126,PG-13,8.09,58823,92132,695
Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven,Special,1,Finished Airing,1/27/2006,null,null,null,"{bandai visual,tokuma shoten}","{bandai entertainment,manga entertainment}",Production I.G,-,"{action,mecha,sci-fi}",161,R,8.09,7838,20450,38
Kekkai Sensen & Beyond,TV,12,Finished Airing,10/8/2017,12/24/2017,Fall,0,"{nihon ad systems,mainichi broadcasting system,toho animation,shueisha}",{funimation},Bones,Manga,"{action,comedy,fantasy,shounen,super power,supernatural,vampire}",24,R,8.09,52697,144459,649
Log Horizon,TV,25,Finished Airing,10/5/2013,3/22/2014,Fall,6,{nhk},{sentai filmworks},Satelight,Novel,"{action,game,adventure,magic,fantasy}",25,PG-13,8.09,290562,548433,7428
Noragami Aragoto OVA,OVA,2,Finished Airing,11/17/2015,3/17/2016,null,null,null,null,Bones,Manga,"{action,adventure,comedy,supernatural,shounen}",23,PG-13,8.09,51937,101153,241
Takarajima,TV,26,Finished Airing,10/8/1978,4/1/1979,Fall,0,{tokyo movie shinsha},null,"Madhouse,TMS Entertainment",Novel,"{adventure,mystery,historical,drama}",24,PG-13,8.09,3130,8228,112
Ginga Sengoku Gunyuuden Rai,TV,52,Finished Airing,4/8/1994,3/31/1995,Spring,5,"{tv tokyo,softx}",{enoki films},E&G Films,Manga,"{sci-fi,adventure,space,romance,shounen}",25,PG-13,8.08,2711,7262,51
Hanamonogatari,TV,5,Finished Airing,8/16/2014,null,Summer,6,"{aniplex,kodansha}",{aniplex of america},Shaft,Light novel,"{comedy,mystery,supernatural}",25,R,8.08,102863,187777,750
Omae Umasou da na,Movie,1,Finished Airing,10/16/2010,null,null,null,"{tms entertainment,medianet,kids station,happinet pictures,tokyo theatres}",null,Ajia-Do,Picture book,"{action,adventure,fantasy,kids}",90,G,8.08,3514,8622,80
Quanzhi Gaoshou,ONA,12,Finished Airing,4/7/2017,6/16/2017,null,null,"{bilibili,tencent penguin pictures,china literature limited}",null,G.CMay Animation & Film,Novel,"{action,game}",24,PG-13,8.08,62457,140658,1723
Tokyo Ghoul:re,TV,12,Currently Airing,4/3/2018,null,Spring,2,"{pierrot plus,shueisha}",{funimation},Studio Pierrot,Manga,"{action,drama,horror,mystery,psychological,seinen,supernatural}",24,R,8.08,22436,187067,1351
xxxHOLiC,TV,24,Finished Airing,4/7/2006,9/29/2006,Spring,null,"{tbs,bmg japan,kids station,kodansha}",{funimation},Production I.G,Manga,"{mystery,comedy,psychological,supernatural,drama}",24,PG-13,8.08,76663,183244,3329
Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu,OVA,28,Finished Airing,12/24/1999,6/27/2001,null,null,null,{sentai filmworks},J.C.Staff,Novel,"{drama,military,sci-fi,space}",26,R,8.07,3676,10158,15
Hyouge Mono,TV,39,Finished Airing,4/7/2011,1/26/2012,Spring,null,"{nhk,sogo vision}",null,Bee Train,Manga,"{historical,samurai,seinen}",25,R,8.07,1879,14731,164
Igano Kabamaru,TV,24,Finished Airing,10/20/1983,3/29/1984,Fall,4,{toho},null,Group TAC,Manga,"{action,adventure,comedy,romance,school,shounen}",23,PG-13,8.07,2631,6344,102
Kami nomi zo Shiru Sekai II,TV,12,Finished Airing,4/12/2011,6/28/2011,Spring,2,"{tv tokyo,geneon universal entertainment}",{sentai filmworks},Manglobe,Manga,"{comedy,harem,romance,shounen,supernatural}",23,PG-13,8.07,153618,241048,870
Kimi to Boku. 2,TV,13,Finished Airing,4/3/2012,6/26/2012,Spring,null,"{tv tokyo,aniplex,square enix,nihon ad systems,movic,kimi to boku production partners}",null,J.C.Staff,Manga,"{comedy,drama,romance,school,shounen,slice of life}",24,PG-13,8.07,27441,54410,306
Mahou Shoujo Lyrical Nanoha A's,TV,13,Finished Airing,10/2/2005,12/25/2005,Fall,null,"{starchild records,omnibus japan}",{geneon entertainment usa},Seven Arcs,Original,"{action,comedy,drama,magic,super power}",25,PG-13,8.07,25666,47558,949
Ore Monogatari!!,TV,24,Finished Airing,4/9/2015,9/24/2015,Spring,4,"{vap,nippon television network,shueisha}",{sentai filmworks},Madhouse,Manga,"{comedy,romance,shoujo}",22,PG-13,8.07,136101,291364,2789
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,OVA,2,Finished Airing,12/3/2001,null,null,null,{sme visual works},"{adv films,aniplex of america}",Studio Deen,Manga,"{romance,samurai,historical,drama,shounen}",42,R,8.07,33525,56812,347
Sekaiichi Hatsukoi,TV,12,Finished Airing,4/9/2011,6/25/2011,Spring,null,"{lantis,kadokawa shoten,at-x,dax production,klockworx}",{funimation},Studio Deen,Manga,"{comedy,drama,romance,shounen ai}",23,PG-13,8.07,68682,120542,2892
Tekkon Kinkreet,Movie,1,Finished Airing,12/23/2006,null,null,null,"{aniplex,tokyo mx,beyond c.}",{sony pictures entertainment},Studio 4°C,Manga,"{action,adventure,psychological,supernatural}",111,R,8.07,26780,59830,947
ef: A Tale of Memories.,TV,12,Finished Airing,10/7/2007,12/23/2007,Fall,0,{rondo robe},{sentai filmworks},Shaft,Visual novel,"{mystery,drama,romance}",24,PG-13,8.06,81607,179263,2687
FLCL,OVA,6,Finished Airing,4/26/2000,3/16/2001,null,null,"{starchild records,gansis}","{funimation,synch-point}","Gainax,Production I.G",Original,"{action,sci-fi,comedy,parody,dementia,psychological,mecha}",25,PG-13,8.06,228767,400400,15747
Hikaru no Go: Journey to the North Star Cup,Special,1,Finished Airing,1/3/2004,null,null,null,{dentsu},null,Studio Pierrot,Manga,"{game,shounen}",77,G,8.06,9231,16362,30
Karigurashi no Arrietty,Movie,1,Finished Airing,7/17/2010,null,null,null,null,{walt disney studios},Studio Ghibli,Novel,{fantasy},94,G,8.06,84145,134478,392
Kobato.,TV,24,Finished Airing,10/6/2009,3/23/2010,Fall,null,"{nhk,nhk-bs2}",{sentai filmworks},Madhouse,Manga,"{comedy,drama,romance,fantasy}",24,PG-13,8.06,39700,105665,1271
